,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,BLOCK,PLAN,DISTRICT_LOT,LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_IMPROVEMENT_VALUE,PREVIOUS_LAND_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,REPORT_YEAR
1297,003-573-401,LAND,316758960000,31675896,RS-1,One Family Dwelling,2,VAP11592,339,B,,6170.0,ARLINGTON ST,V5S 3N5,OTS 3 & 4.,"RICT LOT 339  NWD PART NE 1/4, OF L",LOT B  BLOCK 2  PLAN VAP11592  DIST,,,1286000.0,32200.0,2021.0,32400.0,1183000.0,1964.0,1964.0,,24,2021
155166,011-061-936,LAND,814123340000,81412334,RS-1,One Family Dwelling,11,VAP5849,325A,5,,1716.0,60TH AVE W,V6P 2A6,"S A & B, & DL 526.","RICT LOT 325A  NWD OF LOT 2, OF BLK",LOT 5  BLOCK 11  PLAN VAP5849  DIST,,,2202000.0,261000.0,2021.0,268000.0,2120000.0,1932.0,1990.0,,10,2021
8378,011-168-811,LAND,124790360000,12479036,RS-6,One Family Dwelling,11,VAP5367,526,6,,6638.0,ADERA ST,V6P 5C1,,RICT LOT 526  NWD OF LOT A.,LOT 6  BLOCK 11  PLAN VAP5367  DIST,,,4779000.0,1176000.0,2021.0,1211000.0,4764000.0,1992.0,1992.0,,10,2021
18216,012-337-145,LAND,298611580000,29861158,RS-1,One Family Dwelling,86,VAP3672,THSL,5,,3402.0,CHARLES ST,V5K 5H9,MINSTER,AP3672  DISTRICT LOT THSL  NEW WEST,LOT 5  BLOCK 86  SECTION 29  PLAN V,,,1293000.0,0.0,2021.0,0.0,1177000.0,,,,21,2021
71984,023-641-223,STRATA,589178080081,58917808,HA-2,Historic Area,,LMS2636,196,81,410,22.0,CORDOVA ST E,V6A 4G8,SHARE IN COM PROP THEREIN.,196  NEW WESTMINSTER UNDIV 54/8640,LOT 81  PLAN LMS2636  DISTRICT LOT,,,398000.0,99800.0,2021.0,98800.0,411000.0,1996.0,1996.0,,26,2021
62537,030-228-301,STRATA,830305600058,83030560,CD-1 (498),Comprehensive Development,,EPS4416,330,58,302,3281.0,KENT AVENUE NORTH E,,INTEREST IN THE COMMON PROPERTY IN,"330  NWD GROUP 1, TOGETHER WITH AN",LOT 58  PLAN EPS4416  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,430000.0,295000.0,2021.0,290000.0,449000.0,2016.0,2016.0,,18,2021
196914,014-310-716,LAND,297701950000,29770195,RS-1,One Family Dwelling,3,VAP1745,THSL,25,,3995.0,WINDERMERE ST,V5R 2G5,NW 1/4.,AP1745  DISTRICT LOT THSL  NWD PART,LOT 25  BLOCK 3  SECTION 49  PLAN V,,,1143000.0,390000.0,2021.0,397000.0,1066000.0,2012.0,2012.0,,22,2021
116608,004-079-701,LAND,674026400000,67402640,RS-1,One Family Dwelling,155,VAP3790,540,9,,4358.0,11TH AVE W,V6R 2M1,,TRICT LOT 540  NWD OF LOT 4.,LOT 9  BLOCK 155  PLAN VAP3790  DIS,,,2200000.0,35900.0,2021.0,38700.0,2020000.0,1956.0,1956.0,,1,2021
113319,011-030-224,LAND,122710590000,12271059,RS-5,One Family Dwelling,668,VAP6011,526,6,,4211.0,MARGUERITE ST,V6J 4G2,,TRICT LOT 526  NEW WESTMINSTER,LOT 6  BLOCK 668  PLAN VAP6011  DIS,,,4031000.0,712000.0,2021.0,735000.0,3771000.0,1989.0,1989.0,,8,2021
197342,010-910-298,LAND,145793610000,14579361,RS-1,One Family Dwelling,J,VAP6339,526,6,,6761.0,SELKIRK ST,V6P 4G9,,ICT LOT 526  NWD OF BLK 12 & 17A.,LOT 6  BLOCK J  PLAN VAP6339  DISTR,,,2864000.0,273000.0,2021.0,289000.0,2885000.0,1951.0,1984.0,,10,2021
160570,003-670-813,STRATA,603109740025,60310974,RM-5B,Multiple Family Dwelling,,VAS198,185,25,505,1816.0,HARO ST,V6G 2Y7,000 SHARE IN COM PROP THEREIN.,85  NEW WESTMINSTER UNDIV 7350/1000,LOT 25  PLAN VAS198  DISTRICT LOT 1,,,395000.0,76600.0,2021.0,79000.0,378000.0,1974.0,1974.0,,27,2021
86660,006-433-669,STRATA,609114690010,60911469,RM-5,Multiple Family Dwelling,,VAS1832,185,10,202,1525.0,PENDRELL ST,V6G 1S6,SHARE IN COMM PROP THEREIN.,185  NEW WESTMINSTER UNDIV 62/2377,LOT 10  PLAN VAS1832  DISTRICT LOT,,,438000.0,113000.0,2021.0,115000.0,402000.0,1987.0,1987.0,,27,2021
78016,005-322-634,LAND,694084570000,69408457,RS-1,One Family Dwelling,513,VAP5648,526,15,,2245.0,19TH AVE W,V6L 1C3,,STRICT LOT 526  NEW WESTMINSTER,LOT 15  BLOCK 513  PLAN VAP5648  DI,,,2886000.0,585000.0,2021.0,591000.0,2698000.0,1996.0,1996.0,,4,2021
72389,014-029-324,LAND,726284570000,72628457,RS-1,One Family Dwelling,96,VAP2108,37,16,,3017.0,HORLEY ST,V5R 4S3,,TRICT LOT 37  NWD & BLKS 99 & 100.,LOT 16  BLOCK 96  PLAN VAP2108  DIS,,,1052000.0,47900.0,2021.0,48900.0,945000.0,1959.0,1975.0,,23,2021
58796,006-776-566,LAND,691292180000,69129218,RS-1,One Family Dwelling,E,VAP11660,THSL,3,,3110.0,17TH AVE E,V5M 2N7,MINSTER,P11660  DISTRICT LOT THSL  NEW WEST,LOT 3  BLOCK E  SECTION 42  PLAN VA,,,1079000.0,286000.0,2021.0,294000.0,1006000.0,1997.0,1997.0,,22,2021
127276,006-871-429,LAND,270698420000,27069842,RS-1,One Family Dwelling,L,VAP11660,THSL,4,,3738.0,NANAIMO ST,V5N 5H3,MINSTER,P11660  DISTRICT LOT THSL  NEW WEST,LOT 4  BLOCK L  SECTION 45  PLAN VA,,,1023000.0,289000.0,2021.0,286000.0,964000.0,1997.0,1997.0,,22,2021
45704,028-217-659,STRATA,638179370059,63817937,CD-1 (454),Comprehensive Development,,BCS3818,FC,59,604,181.0,1ST AVE W,V5Y 0E3,N THE COMMON PROPERTY IN PROPORTION,FC  NWD TOGETHER WITH AN INTEREST I,LOT 59  PLAN BCS3818  DISTRICT LOT,TO THE UNIT ENTITLEMENT OF THE STR,"ATA LOT AS SHOWN ON FORM 1 OR V, AS",723000.0,244000.0,2021.0,241000.0,692000.0,2009.0,2009.0,,13,2021
54600,007-173-946,LAND,696034860000,69603486,RS-5,One Family Dwelling,35,VAP4367,139,26,,3808.0,20TH AVE W,V6S 1G2,,TRICT LOT 139  NWD OF LOTS 2 & 3.,LOT 26  BLOCK 35  PLAN VAP4367  DIS,,,2200000.0,65800.0,2021.0,67600.0,2030000.0,1936.0,1960.0,,3,2021
23156,004-753-305,LAND,719230200000,71923020,RS-1,One Family Dwelling,1,VAP1909,352,15,,1420.0,29TH AVE E,V5N 2Y5,.,"RICT LOT 352  NWD OF LOT 4, & BLK 3",LOT 15  BLOCK 1  PLAN VAP1909  DIST,,,1550000.0,33400.0,2021.0,32800.0,1363000.0,1956.0,1956.0,,19,2021
13545,023-938-251,STRATA,157606020451,15760602,CD-1 (324),Comprehensive Development,,LMS2995,FC,451,2609,1009.0,EXPO BLVD,V6Z 2V9,"STRICT, TOGETHER WITH AN INTEREST I","ICT LOT FC, NEW WESTMINSTER LAND DI","STRATA LOT 451, PLAN LMS2995, DISTR",N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,454000.0,205000.0,2021.0,203000.0,431000.0,1997.0,1997.0,,30,2021
37502,026-806-304,STRATA,589178930102,58917893,HA-2,Historic Area,,BCS2025,196,102,504,55.0,CORDOVA ST E,V6A 0A5,,196  NEW WESTMINSTER GROUP 1.,LOT 102  PLAN BCS2025  DISTRICT LOT,,,730000.0,195000.0,2021.0,193000.0,743000.0,2006.0,2006.0,,26,2021
213707,004-264-487,STRATA,646084520008,64608452,RM-4,Multiple Family Dwelling,,VAS1489,526,8,202,2256.0,7TH AVE W,V6K 1Y2,HARE IN COM PROP THEREIN.,26  NEW WESTMINSTER UNDIV 63/1418 S,LOT 8  PLAN VAS1489  DISTRICT LOT 5,,,523000.0,78900.0,2021.0,81800.0,495000.0,1985.0,1985.0,,2,2021
43901,028-157-559,STRATA,134606300066,13460630,DD,Comprehensive Development,,BCS3727,541,66,519,1022.0,SEYMOUR ST,V6B 0G1,INTEREST IN THE COMMON PROPERTY IN,"541  NWD GROUP 1, TOGETHER WITH AN",LOT 66  PLAN BCS3727  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,620000.0,254000.0,2021.0,249000.0,633000.0,2010.0,2010.0,,29,2021
68428,029-100-224,STRATA,638179200081,63817920,CD-1 (462),Comprehensive Development,,EPS1384,200A,81,908,138.0,1ST AVE W,V5Y 0H5,INTEREST IN THE COMMON PROPERTY IN,"200A  NWD GROUP 1, TOGETHER WITH AN",LOT 81  PLAN EPS1384  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,527000.0,254000.0,2021.0,249000.0,574000.0,2013.0,2013.0,,13,2021
77426,014-079-011,LAND,600274350000,60027435,RS-1,One Family Dwelling,2,VAP2055,,29,,2633.0,VENABLES ST,V5K 2R4,TR THSL.,WESTMINSTER DISTRICT LOT SEC22 NE Q,LOT 29  BLOCK 2  PLAN VAP2055  NEW,,,1192000.0,18900.0,2021.0,19500.0,1068000.0,1929.0,1960.0,,20,2021
65788,026-519-798,STRATA,605186950039,60518695,CD-1 (264),Comprehensive Development,,BCS1644,,39,805,189.0,NATIONAL AVE,V6A 4L8,.,"ER DISTRICT LOT 196 & 2037, GROUP 1",LOT 39  PLAN BCS1644  NEW WESTMINST,,,669000.0,246000.0,2021.0,256000.0,640000.0,2005.0,2005.0,,30,2021
214294,014-192-772,LAND,686038490000,68603849,RS-1,One Family Dwelling,92,VAP1908,540,23,,3657.0,14TH AVE W,V6R 2W6,,TRICT LOT 540  NEW WESTMINSTER,LOT 23  BLOCK 92  PLAN VAP1908  DIS,,,2415000.0,79300.0,2021.0,83400.0,2288000.0,1931.0,1970.0,,1,2021
167079,007-317-000,LAND,743170340000,74317034,RS-1,One Family Dwelling,855,VAP7240,526,19,,472.0,39TH AVE W,V5Y 2P7,,STRICT LOT 526  NEW WESTMINSTER,LOT 19  BLOCK 855  PLAN VAP7240  DI,,,2568000.0,116000.0,2021.0,126000.0,2433000.0,1950.0,1976.0,,9,2021
104565,017-963-478,STRATA,186654610014,18665461,RM-4,Multiple Family Dwelling,,LMS589,302,14,305,2621.0,QUEBEC ST,V5T 3A6,HARE IN COM PROP THEREIN.,02  NEW WESTMINSTER UNDIV 65/1232 S,LOT 14  PLAN LMS589  DISTRICT LOT 3,,,484000.0,122000.0,2021.0,123000.0,460000.0,1992.0,1992.0,,13,2021
173349,030-067-537,STRATA,650173500035,65017350,C-3A,Commercial,,EPS3524,302,35,603,238.0,BROADWAY W,V5Y 0L2,INTEREST IN THE COMMON PROPERTY IN,"302  NWD GROUP 1, TOGETHER WITH AN",LOT 35  PLAN EPS3524  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,488000.0,264000.0,2021.0,259000.0,485000.0,2017.0,2017.0,,13,2021
3184,006-037-399,STRATA,605114060023,60511406,RM-5,Multiple Family Dwelling,,VAS845,185,23,210,1550.0,BARCLAY ST,V6G 3B1,SHARE IN COM PROP THEREIN.,85  NEW WESTMINSTER UNDIV 559/42266,LOT 23  PLAN VAS845  DISTRICT LOT 1,,,414000.0,125000.0,2021.0,129000.0,382000.0,1981.0,1999.0,,27,2021
136235,009-199-152,LAND,70765490000,7076549,RS-5,One Family Dwelling,A,VAP2252,321,29,,6389.0,MACDONALD ST,V6N 1E8,"BLOCK A, PLAN VAP2252, DISTRICT LOT","RICT LOT 321  NWD & BLK B, LOT 28,",LOT 29  BLOCK A  PLAN VAP2252  DIST,"321, NEW WESTMINSTER LAND DISTRICT",", & BLK B.",5812000.0,10000.0,2021.0,10000.0,5592000.0,1910.0,1985.0,,6,2021
162626,029-777-801,STRATA,184638960046,18463896,CD-1 (506),Comprehensive Development,,EPS2426,200A,46,706,1788.0,ONTARIO ST,V5T 0G3,INTEREST IN THE COMMON PROPERTY IN,"200A  NWD GROUP 1, TOGETHER WITH AN",LOT 46  PLAN EPS2426  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,626000.0,262000.0,2021.0,257000.0,562000.0,2016.0,2016.0,,13,2021
118142,024-574-325,STRATA,600117530022,60011753,CD-1 (260),Comprehensive Development,,LMS3963,185,22,502,1239.0,GEORGIA ST W,V6E 4R8,61 SHARE IN COM PROP THEREIN.,185  NEW WESTMINSTER UNDIV 797/2115,LOT 22  PLAN LMS3963  DISTRICT LOT,,,523000.0,227000.0,2021.0,224000.0,496000.0,1999.0,1999.0,,26,2021
177246,014-790-475,LAND,770270430000,77027043,RT-2,Two Family Dwelling,B,VAP1388,393,17,,2375.0,KINGSWAY,V5R 5G8,"N REF PL 2407, OF LOT 9, & BLK 10.","RICT LOT 393  NWD GROUP 1, EXC PT I",LOT 17  BLOCK B  PLAN VAP1388  DIST,,,1065000.0,332000.0,2021.0,327000.0,1036000.0,2004.0,2004.0,,23,2021
137711,013-220-195,LAND,670024070000,67002407,C-2,Commercial,149,VAP3051,540,20,,4489.0,10TH AVE W,V6R 2H8,"9, BLOCK 149, PLAN 3051, DISTRICT L","STRICT LOT 540  NWD OF LOT 4, LOT 1",LOT 20  BLOCK 149  PLAN VAP3051  DI,"OT 540, NEW WESTMINSTER LAND DISTRI","CT, OF LOT 4.",6176000.0,21100.0,2021.0,20700.0,7770000.0,1974.0,1980.0,,1,2021
5394,011-555-432,LAND,717054430000,71705443,RS-5,One Family Dwelling,71,VAP4389,2027,29,,3115.0,28TH AVE W,V6L 1X4,,TRICT LOT 2027  NEW WESTMINSTER,LOT 29  BLOCK 71  PLAN VAP4389  DIS,,,2226000.0,281000.0,2021.0,288000.0,2133000.0,1996.0,1996.0,,4,2021
136998,025-937-235,STRATA,813150930038,81315093,CD-1 (355),Comprehensive Development,,BCS449,526,38,,982.0,58TH AVE W,V6P 6Y3,N THE COMMON PROPERTY IN PROPORTION,26  NWD TOGETHER WITH AN INTEREST I,LOT 38  PLAN BCS449  DISTRICT LOT 5,TO THE UNIT ENTITLEMENT OF THE STR,ATA LOT AS SHOWN ON FORM V,1023000.0,237000.0,2021.0,234000.0,1025000.0,2004.0,2004.0,,11,2021
72205,013-325-302,LAND,710182950000,71018295,RS-1,One Family Dwelling,664,VAP2913,526,17,,5.0,KING EDWARD AVE W,V5Y 2H6,,STRICT LOT 526  NEW WESTMINSTER,LOT 17  BLOCK 664  PLAN VAP2913  DI,,,2195000.0,212000.0,2021.0,208000.0,2014000.0,1946.0,1946.0,,9,2021
45892,025-856-561,STRATA,79750070018,7975007,C-2,Commercial,,BCS687,526,18,306,5733.0,VINE ST,V6M 4A2,HARE IN COM PROP THEREIN.,26  NEW WESTMINSTER UNDIV 88/2484 S,LOT 18  PLAN BCS687  DISTRICT LOT 5,,,604000.0,156000.0,2021.0,155000.0,569000.0,2004.0,2004.0,,5,2021
41823,024-844-900,STRATA,159607880165,15960788,CD-1 (324),Comprehensive Development,,LMS4255,FC,165,2806,193.0,AQUARIUS MEWS,V6Z 2Z2,"STRICT, TOGETHER WITH AN INTEREST I","ICT LOT FC, NEW WESTMINSTER LAND DI","STRATA LOT 165, PLAN LMS4255, DISTR",N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,681000.0,236000.0,2021.0,231000.0,614000.0,2000.0,2000.0,,30,2021
51742,018-161-944,STRATA,590274420004,59027442,C-2C,Commercial,,LMS775,THSL,4,,2652.0,HASTINGS ST E,V5K 1Z6,SHARE IN COM PROP THEREIN.,SL  NEW WESTMINSTER UNDIV 1211/7087,LOT 4  PLAN LMS775  DISTRICT LOT TH,,,697000.0,113000.0,2021.0,114000.0,623000.0,1993.0,1993.0,,20,2021
115582,005-480-167,STRATA,267830020029,26783002,CD-1 (156),Comprehensive Development,,VAS1774,329,29,,2301.0,SOUTH SHORE CRES,V5P 4N1,93 SHARE IN COM PROP THEREIN.,329  NEW WESTMINSTER UNDIV 1429/532,LOT 29  PLAN VAS1774  DISTRICT LOT,,,613000.0,192000.0,2021.0,200000.0,569000.0,1986.0,1986.0,,25,2021
32158,029-431-123,STRATA,770278670072,77027867,CD-1 (529),Comprehensive Development,,EPS2285,37,72,906,2689.0,KINGSWAY,V5R 5H4,WITH AN INTEREST IN THE COMMON PROP,"37  NWD GROUP 1, PHASE 1, TOGETHER",LOT 72  PLAN EPS2285  DISTRICT LOT,ERTY IN PROPORTION TO THE UNIT ENTI,TLEMENT OF THE STRATA LOT AS SHOWN,344000.0,344000.0,2021.0,338000.0,361000.0,2014.0,2014.0,,23,2021
122118,011-825-766,STRATA,830153690002,83015369,RM-3A,Multiple Family Dwelling,,VAS2226,,2,,821.0,70TH AVE W,V6P 2X5,40 SHARE IN COM PROP THEREIN TOGETH,"OT 319, 323 & 324, AN UNDIV 1176/21",LOT 2  PLAN VAS2226  NWD DISTRICT L,ER WITH AN INTEREST IN THE COMMON P,ROPERTY IN PROPORTION TO THE UNIT E,782000.0,125000.0,2021.0,133000.0,715000.0,1988.0,1988.0,,12,2021
125535,026-166-330,STRATA,643130080016,64313008,C-3A,Commercial,,BCS1127,526,16,203,1450.0,6TH AVE W,V6H 4H9,,526  NEW WESTMINSTER GROUP 1.,LOT 16  PLAN BCS1127  DISTRICT LOT,,,737000.0,282000.0,2021.0,278000.0,747000.0,2005.0,2005.0,,7,2021
136926,012-986-895,LAND,77765510000,7776551,RS-5,One Family Dwelling,1,VAP3361,526,17,,6389.0,LARCH ST,V6M 4E8,,RICT LOT 526  NWD OF LOT 2.,LOT 17  BLOCK 1  PLAN VAP3361  DIST,,,2872000.0,954000.0,2021.0,965000.0,2859000.0,1993.0,1995.0,,6,2021
90384,011-029-668,LAND,739030470000,73903047,RS-5,One Family Dwelling,38,VAP5959,2027,20,,4049.0,37TH AVE W,V6N 2W6,,TRICT LOT 2027  NEW WESTMINSTER,LOT 20  BLOCK 38  PLAN VAP5959  DIS,,,3100000.0,37100.0,2021.0,40000.0,2897000.0,1942.0,1942.0,,3,2021
87375,030-088-127,STRATA,645194050110,64519405,IC-3,Light Industrial,28,EPS4064,200A,110,616,311.0,6TH AVE E,V5T 0G9,HER WITH AN INTEREST IN THE COMMON,"STRICT LOT 200A  NWD GROUP 1, TOGET",LOT 110  BLOCK 28  PLAN EPS4064  DI,PROPERTY IN PROPORTION TO THE UNIT,ENTITLEMENT OF THE STRATA LOT AS SH,367000.0,197000.0,2021.0,193000.0,386000.0,2017.0,2017.0,,13,2021
182883,004-525-256,STRATA,750056080005,75005608,C-1,Commercial,,VAS1014,321,5,5,5730.0,CARNARVON ST,V6N 4E7,ARE IN COM PROP THEREIN.,21  NEW WESTMINSTER UNDIV 94/755 SH,LOT 5  PLAN VAS1014  DISTRICT LOT 3,,,855000.0,145000.0,2021.0,154000.0,852000.0,1981.0,1981.0,,5,2021
85547,011-324-431,LAND,790179610000,79017961,RS-1,One Family Dwelling,1163,VAP4757,526,17,,143.0,49TH AVE W,V5Y 2Z7,,ISTRICT LOT 526  NEW WESTMINSTER,LOT 17  BLOCK 1163  PLAN VAP4757  D,,,2761000.0,10000.0,2021.0,10000.0,3156000.0,1939.0,1975.0,,11,2021
32394,024-597-767,STRATA,758163980090,75816398,CD-1 (31),Comprehensive Development,,LMS3998,526,90,515,618.0,45TH AVE W,V5Z 4R7,611 SHARE IN COMMON PROP THEREIN.,526  NEW WESTMINSTER UNDIV 1435/127,LOT 90  PLAN LMS3998  DISTRICT LOT,,,1168000.0,408000.0,2021.0,404000.0,1231000.0,1999.0,1999.0,,11,2021
68506,011-194-251,LAND,678032450000,67803245,RS-1,One Family Dwelling,179,VAP5256,540,6,,3955.0,12TH AVE W,V6R 2P1,,TRICT LOT 540  NWD OF LOT 4.,LOT 6  BLOCK 179  PLAN VAP5256  DIS,,,3425000.0,1071000.0,2021.0,1074000.0,3271000.0,2004.0,2004.0,,1,2021
150287,028-761-545,STRATA,648159940050,64815994,CD-1 (358),Comprehensive Development,,BCS4340,526,50,606,2411.0,HEATHER ST,V5Z 0B7,INTEREST IN THE COMMON PROPERTY IN,"526  NWD GROUP 1, TOGETHER WITH AN",LOT 50  PLAN BCS4340  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,466000.0,228000.0,2021.0,223000.0,443000.0,2012.0,2012.0,,7,2021
102351,009-712-194,LAND,233739910000,23373991,RS-1,One Family Dwelling,3,VAP9380,710,A,,5491.0,DUMFRIES ST,V5P 3A3,,ICT LOT 710  NWD GROUP 1.,LOT A  BLOCK 3  PLAN VAP9380  DISTR,,,1405000.0,33600.0,2021.0,33800.0,1307000.0,1958.0,1960.0,,19,2021
57677,012-144-461,STRATA,126612020007,12661202,DD,Comprehensive Development,,VAS2282,541,7,305,1212.0,HOWE ST,V6Z 2M9,4 SHARE IN COM PROP THEREIN.,41  NEW WESTMINSTER UNDIV 543/10200,LOT 7  PLAN VAS2282  DISTRICT LOT 5,,,446000.0,163000.0,2021.0,168000.0,449000.0,2008.0,2008.0,,29,2021
24412,011-114-801,LAND,120795240000,12079524,RS-6,One Family Dwelling,11,VAP5614,526,22,,6866.0,ANGUS DR,V6P 5J5,OT B.,"DISTRICT LOT 526  NWD GROUP 1, OF L",LOT 22  BLOCK 11  PLAN VAPVAP5614,,,3148000.0,662000.0,2021.0,744000.0,3124000.0,1989.0,1993.0,,10,2021
91375,027-027-121,STRATA,725318950087,72531895,CD-1 (314),Comprehensive Development,,BCS2281,36,87,215,3651.0,FOSTER AVE,V5R 0A2,,36  NEW WESTMINSTER GROUP 1.,LOT 87  PLAN BCS2281  DISTRICT LOT,,,442000.0,172000.0,2021.0,170000.0,420000.0,2007.0,2007.0,,23,2021
143505,028-918-240,STRATA,300830060026,30083006,CD-1 (498),Comprehensive Development,8,BCS4492,330,26,,3119.0,KENT AVENUE NORTH E,V5S 4Y1,TOGETHER WITH AN INTEREST IN THE CO,2  DISTRICT LOT 330  NWD  GROUP 1,STRATA LOT 26  BLOCK 8  PLAN BCS449,MMON PROPERTY IN PROPORTION TO THE,UNIT ENTITLEMENT OF THE STRATA LOT,1120000.0,332000.0,2021.0,328000.0,1047000.0,2012.0,2012.0,,18,2021
23690,028-113-501,STRATA,638122570033,63812257,CD-1 (458),Comprehensive Development,,BCS3683,526,33,314,1635.0,3RD AVE W,V6J 0B6,AN INTEREST IN THE COMMON PROPERTY,526  NWD  BCAGROUP 1 TOGETHER WITH,LOT 33  PLAN BCS3683  DISTRICT LOT,IN PROPORTION TO THE UNIT ENTITLEME,NT OF THE STRATA LOT AS SHOWN ON FO,383000.0,248000.0,2021.0,242000.0,363000.0,2010.0,2010.0,,7,2021
200705,023-701-692,STRATA,600116930133,60011693,DD,Comprehensive Development,,LMS2728,185,133,2201,1331.0,GEORGIA ST W,V6E 4P1,"ER LAND DISTRICT, TOGETHER WITH AN","ICT LOT 185, GROUP 1, NEW WESTMINST","STRATA LOT 133, PLAN LMS2728, DISTR",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,477000.0,136000.0,2021.0,134000.0,456000.0,1997.0,1997.0,,26,2021
155366,012-337-480,LAND,634302660000,63430266,RS-1,One Family Dwelling,93,VAP3672,THSL,12,,3476.0,4TH AVE E,V5M 1L9,TMINSTER,VAP3672  DISTRICT LOT THSL  NEW WES,LOT 12  BLOCK 93  SECTION 29  PLAN,,,1155000.0,341000.0,2021.0,335000.0,1116000.0,2003.0,2003.0,,21,2021
97524,015-291-561,LAND,601255570000,60125557,RT-4,Two Family Dwelling,19,VAP1771,264A,16,,2057.0,PARKER ST,V5L 2L4,,NEW WESTMINSTER PLAN 419 & 1771.,LOT 16  BLOCK 19  DISTRICT LOT 264A,,,1472000.0,323000.0,2021.0,326000.0,1400000.0,1910.0,1995.0,,14,2021
152390,004-533-348,LAND,259607410000,25960741,RT-4,Two Family Dwelling,C,VAP715,264A,37,,1333.0,LAKEWOOD DR,V5L 4M7,"R SUBURBAN BLOCK 136, PLAN VAP715 &",DISTRICT LOT 264A  NEW WESTMINSTE,LOT 37  BLOCK C  PLAN VAP715 & 1771,"1771, LOT 37 OF LOT 3 BLOCKS C AND",D.,1198000.0,154000.0,2021.0,159000.0,1123000.0,1974.0,1995.0,,14,2021
17216,027-750-191,STRATA,190728310026,19072831,C-2,Commercial,,BCS3232,634,26,405,4823.0,MAIN ST,V5V 3R9,,634  NWD GROUP 1.,LOT 26  PLAN BCS3232  DISTRICT LOT,,,382000.0,231000.0,2021.0,228000.0,361000.0,2008.0,2008.0,,16,2021
214050,030-872-171,STRATA,170710930008,17071093,RS-1,One Family Dwelling,,EPS5240,526,8,104,4171.0,CAMBIE ST,,N INTEREST IN THE COMMON PROPERTY I,26  NWD  BCAGROUP 1 TOGETHER WITH A,LOT 8  PLAN EPS5240  DISTRICT LOT 5,N PROPORTION TO THE UNIT ENTITLEMEN,T OF THE STRATA LOT AS SHOWN ON FOR,608000.0,272000.0,2021.0,267000.0,603000.0,,,,9,2021
194628,010-583-131,LAND,236765870000,23676587,RS-1,One Family Dwelling,1,VAP7541,,7,,6475.0,FLEMING ST,V5P 3G9,,ISTRICT LOT 732 W HLF.,LOT 7  BLOCK 1  PLAN VAP7541  NWD D,,,1537000.0,40400.0,2021.0,40600.0,1367000.0,1947.0,1960.0,,19,2021
163002,010-435-387,LAND,184703600000,18470360,RS-7,One Family Dwelling,3,VAP7057,630,C,,3860.0,ONTARIO ST,V5V 3G3,Y LOT 18-22.,ICT LOT 630  NEW WESTMINSTER SUBSID,LOT C  BLOCK 3  PLAN VAP7057  DISTR,,,2364000.0,745000.0,2021.0,674000.0,2238000.0,2001.0,2002.0,,15,2021
14955,010-651-314,LAND,75794260000,7579426,RS-5,One Family Dwelling,14,VAP7356,526,B,,6728.0,MARINE CRES,V6P 5X3,1 SOUTH.,"RICT LOT 526  NWD OF LOT A, OF BLK",LOT B  BLOCK 14  PLAN VAP7356  DIST,,,5066000.0,1305000.0,2021.0,1343000.0,4960000.0,1993.0,1993.0,,6,2021
121887,016-167-147,STRATA,605117350024,60511735,RM-5B,Multiple Family Dwelling,,VAS2681,185,24,801,1265.0,BARCLAY ST,V6E 1H5,ARE IN COM PROP THEREIN.,185  NEW WESTMINSTER UNDIV 9/297 SH,LOT 24  PLAN VAS2681  DISTRICT LOT,,,659000.0,271000.0,2021.0,272000.0,628000.0,1990.0,1990.0,,27,2021
77623,019-090-927,STRATA,124608970065,12460897,DD,Comprehensive Development,,LMS1757,541,65,614,1177.0,HORNBY ST,V6Z 2E9,52 SHARE IN COM PROP THEREIN.,541  NEW WESTMINSTER UNDIV 656/1061,LOT 65  PLAN LMS1757  DISTRICT LOT,,,394000.0,184000.0,2021.0,183000.0,373000.0,1994.0,1994.0,,29,2021
